average high,average low,average rain,Capital,Lat,Lng,State,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
"{'jan': 57.0, 'feb': 62.0, 'mar': 70.0, 'apr': 77.0, 'may': 84.0, 'jun': 90.0, 'jul': 92.0, 'aug': 92.0, 'sep': 87.0, 'oct': 78.0, 'nov': 69.0, 'dec': 60.0}","{'jan': 36.0, 'feb': 39.0, 'mar': 45.0, 'apr': 52.0, 'may': 61.0, 'jun': 68.0, 'jul': 71.0, 'aug': 71.0, 'sep': 65.0, 'oct': 53.0, 'nov': 44.0, 'dec': 37.0}","{'jan': 4.65, 'feb': 5.28, 'mar': 5.95, 'apr': 4.02, 'may': 3.54, 'jun': 4.07, 'jul': 5.24, 'aug': 3.96, 'sep': 3.97, 'oct': 2.92, 'nov': 4.61, 'dec': 4.86}",montgomery,32.377716,-86.300568,1,4876250.0,39.0,50536.0,27928.0,795989.0,16.323793899000258
"{'jan': 33.0, 'feb': 35.0, 'mar': 40.0, 'apr': 48.0, 'may': 57.0, 'jun': 62.0, 'jul': 64.0, 'aug': 63.0, 'sep': 56.0, 'oct': 47.0, 'nov': 38.0, 'dec': 34.0}","{'jan': 24.0, 'feb': 25.0, 'mar': 28.0, 'apr': 33.0, 'may': 41.0, 'jun': 47.0, 'jul': 50.0, 'aug': 49.0, 'sep': 44.0, 'oct': 38.0, 'nov': 29.0, 'dec': 26.0}","{'jan': 5.35, 'feb': 4.13, 'mar': 3.78, 'apr': 2.94, 'may': 3.4, 'jun': 3.24, 'jul': 4.6, 'aug': 5.73, 'sep': 8.64, 'oct': 8.63, 'nov': 5.99, 'dec': 5.84}",juneau,58.301598,-134.42021200000002,2,737068.0,34.3,77640.0,36787.0,76933.0,10.437707240037554
"{'jan': 67.0, 'feb': 71.0, 'mar': 77.0, 'apr': 85.0, 'may': 95.0, 'jun': 104.0, 'jul': 106.0, 'aug': 104.0, 'sep': 100.0, 'oct': 89.0, 'nov': 76.0, 'dec': 66.0}","{'jan': 46.0, 'feb': 49.0, 'mar': 53.0, 'apr': 60.0, 'may': 69.0, 'jun': 78.0, 'jul': 83.0, 'aug': 83.0, 'sep': 77.0, 'oct': 65.0, 'nov': 53.0, 'dec': 45.0}","{'jan': 4.0, 'feb': 4.0, 'mar': 3.0, 'apr': 2.0, 'may': 1.0, 'jun': 1.0, 'jul': 4.0, 'aug': 5.0, 'sep': 3.0, 'oct': 3.0, 'nov': 2.0, 'dec': 4.0}",phoenix,33.448143,-112.096962,4,7050299.0,37.7,58945.0,30694.0,1043764.0,14.804535240278465
"{'jan': 51.0, 'feb': 55.0, 'mar': 64.0, 'apr': 73.0, 'may': 81.0, 'jun': 89.0, 'jul': 92.0, 'aug': 93.0, 'sep': 86.0, 'oct': 75.0, 'nov': 63.0, 'dec': 52.0}","{'jan': 32.0, 'feb': 35.0, 'mar': 43.0, 'apr': 51.0, 'may': 61.0, 'jun': 69.0, 'jul': 73.0, 'aug': 72.0, 'sep': 65.0, 'oct': 53.0, 'nov': 42.0, 'dec': 34.0}","{'jan': 8.0, 'feb': 9.0, 'mar': 9.0, 'apr': 11.0, 'may': 11.0, 'jun': 8.0, 'jul': 8.0, 'aug': 6.0, 'sep': 7.0, 'oct': 8.0, 'nov': 8.0, 'dec': 9.0}",little_rock,34.746613,-92.288986,5,2999370.0,38.1,47597.0,26577.0,496260.0,16.545474549655427
"{'jan': 54.0, 'feb': 60.0, 'mar': 65.0, 'apr': 71.0, 'may': 80.0, 'jun': 87.0, 'jul': 92.0, 'aug': 91.0, 'sep': 87.0, 'oct': 78.0, 'nov': 64.0, 'dec': 54.0}","{'jan': 39.0, 'feb': 41.0, 'mar': 44.0, 'apr': 46.0, 'may': 51.0, 'jun': 56.0, 'jul': 58.0, 'aug': 58.0, 'sep': 56.0, 'oct': 50.0, 'nov': 43.0, 'dec': 38.0}","{'jan': 3.64, 'feb': 3.47, 'mar': 2.75, 'apr': 1.15, 'may': 0.68, 'jun': 0.21, 'jul': 0.0, 'aug': 0.05, 'sep': 0.29, 'oct': 0.95, 'nov': 2.08, 'dec': 3.25}",sacramento,38.576668,-121.493629,6,39283497.0,36.5,75235.0,36955.0,5149742.0,13.109174063602335
"{'jan': 45.0, 'feb': 46.0, 'mar': 54.0, 'apr': 61.0, 'may': 72.0, 'jun': 82.0, 'jul': 90.0, 'aug': 88.0, 'sep': 79.0, 'oct': 66.0, 'nov': 52.0, 'dec': 45.0}","{'jan': 18.0, 'feb': 19.0, 'mar': 27.0, 'apr': 34.0, 'may': 43.0, 'jun': 52.0, 'jul': 59.0, 'aug': 57.0, 'sep': 48.0, 'oct': 37.0, 'nov': 25.0, 'dec': 18.0}","{'jan': 9999.0, 'feb': 9999.0, 'mar': 9999.0, 'apr': 9999.0, 'may': 9999.0, 'jun': 9999.0, 'jul': 9999.0, 'aug': 9999.0, 'sep': 9999.0, 'oct': 9999.0, 'nov': 9999.0, 'dec': 9999.0}",denver,39.739227,-104.98485600000001,8,5610349.0,36.7,72331.0,38226.0,565873.0,10.086235276985445
"{'jan': 35.0, 'feb': 38.0, 'mar': 47.0, 'apr': 58.0, 'may': 70.0, 'jun': 79.0, 'jul': 84.0, 'aug': 82.0, 'sep': 74.0, 'oct': 63.0, 'nov': 51.0, 'dec': 40.0}","{'jan': 16.0, 'feb': 19.0, 'mar': 27.0, 'apr': 38.0, 'may': 48.0, 'jun': 57.0, 'jul': 63.0, 'aug': 61.0, 'sep': 51.0, 'oct': 40.0, 'nov': 32.0, 'dec': 22.0}","{'jan': 3.66, 'feb': 2.64, 'mar': 3.62, 'apr': 3.82, 'may': 3.98, 'jun': 3.82, 'jul': 3.94, 'aug': 3.82, 'sep': 3.82, 'oct': 3.9, 'nov': 3.78, 'dec': 3.43}",hartford,41.764046,-72.682198,9,3575074.0,41.0,78444.0,44496.0,344146.0,9.626262281563962
"{'jan': 43.0, 'feb': 47.0, 'mar': 55.0, 'apr': 66.0, 'may': 75.0, 'jun': 83.0, 'jul': 87.0, 'aug': 85.0, 'sep': 79.0, 'oct': 69.0, 'nov': 58.0, 'dec': 47.0}","{'jan': 27.0, 'feb': 29.0, 'mar': 36.0, 'apr': 44.0, 'may': 54.0, 'jun': 63.0, 'jul': 68.0, 'aug': 67.0, 'sep': 60.0, 'oct': 49.0, 'nov': 40.0, 'dec': 31.0}","{'jan': 3.41, 'feb': 3.07, 'mar': 4.31, 'apr': 3.88, 'may': 4.25, 'jun': 4.0, 'jul': 4.09, 'aug': 4.36, 'sep': 4.13, 'oct': 3.42, 'nov': 3.48, 'dec': 3.65}",dover,39.157307,-75.519722,10,957248.0,40.6,68287.0,35450.0,109400.0,11.428595306545427
"{'jan': 80.0, 'feb': 80.0, 'mar': 81.0, 'apr': 83.0, 'may': 85.0, 'jun': 87.0, 'jul': 88.0, 'aug': 89.0, 'sep': 89.0, 'oct': 87.0, 'nov': 84.0, 'dec': 81.0}","{'jan': 66.0, 'feb': 66.0, 'mar': 68.0, 'apr': 69.0, 'may': 71.0, 'jun': 73.0, 'jul': 74.0, 'aug': 75.0, 'sep': 74.0, 'oct': 73.0, 'nov': 71.0, 'dec': 68.0}","{'jan': 14.0, 'feb': 11.0, 'mar': 13.0, 'apr': 12.0, 'may': 11.0, 'jun': 12.0, 'jul': 14.0, 'aug': 13.0, 'sep': 13.0, 'oct': 13.0, 'nov': 13.0, 'dec': 15.0}",honolulu,21.307442,-157.857376,15,1422094.0,39.1,81275.0,35567.0,130649.0,9.187086085729916
"{'jan': 64.0, 'feb': 67.0, 'mar': 74.0, 'apr': 80.0, 'may': 87.0, 'jun': 91.0, 'jul': 92.0, 'aug': 92.0, 'sep': 88.0, 'oct': 81.0, 'nov': 73.0, 'dec': 65.0}","{'jan': 39.0, 'feb': 42.0, 'mar': 47.0, 'apr': 52.0, 'may': 62.0, 'jun': 69.0, 'jul': 72.0, 'aug': 72.0, 'sep': 68.0, 'oct': 57.0, 'nov': 47.0, 'dec': 41.0}","{'jan': 4.34, 'feb': 4.85, 'mar': 5.94, 'apr': 3.06, 'may': 3.47, 'jun': 7.73, 'jul': 7.17, 'aug': 7.35, 'sep': 4.69, 'oct': 3.23, 'nov': 3.5, 'dec': 3.9}",tallahassee,30.438118,-84.281296,12,20901636.0,42.0,55660.0,31619.0,2870487.0,13.733312550271185
"{'jan': 61.0, 'feb': 52.0, 'mar': 72.0, 'apr': 82.0, 'may': 86.0, 'jun': 87.0, 'jul': 86.0, 'aug': 79.0, 'sep': 71.0, 'oct': 54.0, 'nov': 62.0, 'dec': 51.0}","{'jan': 43.0, 'feb': 37.0, 'mar': 54.0, 'apr': 64.0, 'may': 69.0, 'jun': 70.0, 'jul': 67.0, 'aug': 60.0, 'sep': 51.0, 'oct': 37.0, 'nov': 43.0, 'dec': 35.0}","{'jan': 8.0, 'feb': 11.0, 'mar': 7.0, 'apr': 7.0, 'may': 10.0, 'jun': 12.0, 'jul': 10.0, 'aug': 9.0, 'sep': 10.0, 'oct': 10.0, 'nov': 12.0, 'dec': 11.0}",atlanta,33.749027000000005,-84.38822900000002,13,10403847.0,36.7,58700.0,31067.0,1528558.0,14.692238361444574
"{'jan': 38.0, 'feb': 45.0, 'mar': 55.0, 'apr': 62.0, 'may': 72.0, 'jun': 81.0, 'jul': 91.0, 'aug': 90.0, 'sep': 79.0, 'oct': 65.0, 'nov': 48.0, 'dec': 38.0}","{'jan': 25.0, 'feb': 28.0, 'mar': 34.0, 'apr': 39.0, 'may': 47.0, 'jun': 54.0, 'jul': 60.0, 'aug': 60.0, 'sep': 51.0, 'oct': 41.0, 'nov': 32.0, 'dec': 24.0}","{'jan': 10.0, 'feb': 9.0, 'mar': 10.0, 'apr': 8.0, 'may': 7.0, 'jun': 5.0, 'jul': 2.0, 'aug': 2.0, 'sep': 3.0, 'oct': 5.0, 'nov': 10.0, 'dec': 11.0}",boise,43.617775,-116.199722,16,1717750.0,36.4,55785.0,27970.0,221256.0,12.880570513753455
"{'jan': 35.0, 'feb': 40.0, 'mar': 52.0, 'apr': 65.0, 'may': 75.0, 'jun': 83.0, 'jul': 86.0, 'aug': 85.0, 'sep': 79.0, 'oct': 66.0, 'nov': 52.0, 'dec': 38.0}","{'jan': 19.0, 'feb': 23.0, 'mar': 32.0, 'apr': 42.0, 'may': 53.0, 'jun': 62.0, 'jul': 65.0, 'aug': 64.0, 'sep': 55.0, 'oct': 44.0, 'nov': 34.0, 'dec': 22.0}","{'jan': 1.82, 'feb': 1.81, 'mar': 2.63, 'apr': 3.51, 'may': 4.24, 'jun': 4.46, 'jul': 3.94, 'aug': 3.24, 'sep': 2.9, 'oct': 3.15, 'nov': 3.21, 'dec': 2.52}",springfield,39.798363,-89.654961,17,12770631.0,38.1,65886.0,36038.0,1557873.0,12.198872553752437
"{'jan': 36.0, 'feb': 40.0, 'mar': 52.0, 'apr': 63.0, 'may': 73.0, 'jun': 82.0, 'jul': 85.0, 'aug': 84.0, 'sep': 78.0, 'oct': 65.0, 'nov': 52.0, 'dec': 39.0}","{'jan': 20.0, 'feb': 24.0, 'mar': 33.0, 'apr': 43.0, 'may': 53.0, 'jun': 62.0, 'jul': 66.0, 'aug': 64.0, 'sep': 56.0, 'oct': 45.0, 'nov': 35.0, 'dec': 24.0}","{'jan': 12.0, 'feb': 10.0, 'mar': 11.0, 'apr': 12.0, 'may': 13.0, 'jun': 11.0, 'jul': 10.0, 'aug': 8.0, 'sep': 8.0, 'oct': 8.0, 'nov': 10.0, 'dec': 12.0}",indianapolis,39.768623,-86.162643,18,6665703.0,37.7,56303.0,29777.0,867996.0,13.021822304414105
"{'jan': 31.0, 'feb': 36.0, 'mar': 49.0, 'apr': 62.0, 'may': 72.0, 'jun': 82.0, 'jul': 86.0, 'aug': 84.0, 'sep': 76.0, 'oct': 63.0, 'nov': 48.0, 'dec': 34.0}","{'jan': 14.0, 'feb': 19.0, 'mar': 30.0, 'apr': 41.0, 'may': 52.0, 'jun': 62.0, 'jul': 67.0, 'aug': 65.0, 'sep': 55.0, 'oct': 43.0, 'nov': 31.0, 'dec': 18.0}","{'jan': 7.0, 'feb': 7.0, 'mar': 9.0, 'apr': 11.0, 'may': 12.0, 'jun': 11.0, 'jul': 10.0, 'aug': 9.0, 'sep': 8.0, 'oct': 8.0, 'nov': 8.0, 'dec': 8.0}",des_moines,41.591087,-93.603729,19,3139508.0,38.2,60523.0,32176.0,348122.0,11.088425320145703
"{'jan': 40.0, 'feb': 45.0, 'mar': 56.0, 'apr': 67.0, 'may': 76.0, 'jun': 85.0, 'jul': 89.0, 'aug': 89.0, 'sep': 80.0, 'oct': 68.0, 'nov': 55.0, 'dec': 42.0}","{'jan': 20.0, 'feb': 24.0, 'mar': 33.0, 'apr': 44.0, 'may': 54.0, 'jun': 64.0, 'jul': 68.0, 'aug': 66.0, 'sep': 56.0, 'oct': 45.0, 'nov': 33.0, 'dec': 22.0}","{'jan': 0.86, 'feb': 1.32, 'mar': 2.49, 'apr': 3.53, 'may': 4.91, 'jun': 5.4, 'jul': 3.82, 'aug': 4.24, 'sep': 3.66, 'oct': 3.03, 'nov': 1.85, 'dec': 1.35}",topeka,39.048190999999996,-95.67795600000001,20,2910652.0,36.7,59597.0,31814.0,337739.0,11.603551369246476
"{'jan': 40.0, 'feb': 45.0, 'mar': 55.0, 'apr': 66.0, 'may': 75.0, 'jun': 83.0, 'jul': 87.0, 'aug': 86.0, 'sep': 79.0, 'oct': 68.0, 'nov': 55.0, 'dec': 44.0}","{'jan': 21.0, 'feb': 23.0, 'mar': 31.0, 'apr': 39.0, 'may': 49.0, 'jun': 59.0, 'jul': 63.0, 'aug': 62.0, 'sep': 55.0, 'oct': 42.0, 'nov': 34.0, 'dec': 26.0}","{'jan': 3.15, 'feb': 3.07, 'mar': 4.06, 'apr': 3.66, 'may': 4.61, 'jun': 4.41, 'jul': 4.17, 'aug': 3.58, 'sep': 3.15, 'oct': 2.68, 'nov': 3.35, 'dec': 3.7}",frankfort,38.186721999999996,-84.875374,21,4449052.0,38.9,50589.0,28178.0,747010.0,16.790318476835065
"{'jan': 62.0, 'feb': 66.0, 'mar': 73.0, 'apr': 79.0, 'may': 86.0, 'jun': 91.0, 'jul': 92.0, 'aug': 92.0, 'sep': 89.0, 'oct': 81.0, 'nov': 72.0, 'dec': 64.0}","{'jan': 41.0, 'feb': 44.0, 'mar': 50.0, 'apr': 57.0, 'may': 65.0, 'jun': 71.0, 'jul': 74.0, 'aug': 73.0, 'sep': 69.0, 'oct': 58.0, 'nov': 49.0, 'dec': 43.0}","{'jan': 5.72, 'feb': 5.04, 'mar': 4.41, 'apr': 4.46, 'may': 4.89, 'jun': 6.41, 'jul': 4.96, 'aug': 5.82, 'sep': 4.54, 'oct': 4.7, 'nov': 4.1, 'dec': 5.6}",baton_rouge,30.457069,-91.187393,22,4664362.0,36.9,49469.0,27923.0,871467.0,18.68351984687295
"{'jan': 28.0, 'feb': 32.0, 'mar': 40.0, 'apr': 53.0, 'may': 65.0, 'jun': 74.0, 'jul': 79.0, 'aug': 78.0, 'sep': 70.0, 'oct': 57.0, 'nov': 45.0, 'dec': 33.0}","{'jan': 11.0, 'feb': 15.0, 'mar': 23.0, 'apr': 35.0, 'may': 45.0, 'jun': 54.0, 'jul': 60.0, 'aug': 58.0, 'sep': 51.0, 'oct': 40.0, 'nov': 31.0, 'dec': 19.0}","{'jan': 2.61, 'feb': 2.43, 'mar': 3.37, 'apr': 3.79, 'may': 3.69, 'jun': 3.56, 'jul': 3.42, 'aug': 3.31, 'sep': 3.74, 'oct': 4.36, 'nov': 4.36, 'dec': 3.24}",augusta,44.307167,-69.781693,23,1335492.0,44.7,57918.0,32637.0,153131.0,11.466261123241472
"{'jan': 44.0, 'feb': 48.0, 'mar': 57.0, 'apr': 68.0, 'may': 77.0, 'jun': 86.0, 'jul': 89.0, 'aug': 87.0, 'sep': 81.0, 'oct': 69.0, 'nov': 59.0, 'dec': 48.0}","{'jan': 29.0, 'feb': 31.0, 'mar': 38.0, 'apr': 47.0, 'may': 57.0, 'jun': 67.0, 'jul': 71.0, 'aug': 71.0, 'sep': 64.0, 'oct': 52.0, 'nov': 42.0, 'dec': 33.0}","{'jan': 3.32, 'feb': 2.94, 'mar': 4.53, 'apr': 3.66, 'may': 4.2, 'jun': 4.17, 'jul': 4.56, 'aug': 3.88, 'sep': 4.76, 'oct': 3.89, 'nov': 3.8, 'dec': 3.56}",annapolis,38.978764,-76.490936,24,6018848.0,38.7,84805.0,42122.0,539991.0,8.971667003386695
"{'jan': 36.0, 'feb': 39.0, 'mar': 45.0, 'apr': 56.0, 'may': 66.0, 'jun': 76.0, 'jul': 81.0, 'aug': 80.0, 'sep': 72.0, 'oct': 61.0, 'nov': 51.0, 'dec': 41.0}","{'jan': 22.0, 'feb': 25.0, 'mar': 31.0, 'apr': 41.0, 'may': 50.0, 'jun': 60.0, 'jul': 65.0, 'aug': 65.0, 'sep': 57.0, 'oct': 47.0, 'nov': 38.0, 'dec': 28.0}","{'jan': 11.0, 'feb': 9.0, 'mar': 11.0, 'apr': 11.0, 'may': 12.0, 'jun': 10.0, 'jul': 9.0, 'aug': 9.0, 'sep': 8.0, 'oct': 9.0, 'nov': 10.0, 'dec': 11.0}",boston,42.358162,-71.063698,25,6850553.0,39.5,81215.0,43761.0,680962.0,9.940248619345036
"{'jan': 30.0, 'feb': 33.0, 'mar': 44.0, 'apr': 58.0, 'may': 69.0, 'jun': 78.0, 'jul': 82.0, 'aug': 80.0, 'sep': 73.0, 'oct': 60.0, 'nov': 47.0, 'dec': 34.0}","{'jan': 17.0, 'feb': 19.0, 'mar': 26.0, 'apr': 37.0, 'may': 47.0, 'jun': 57.0, 'jul': 61.0, 'aug': 59.0, 'sep': 51.0, 'oct': 41.0, 'nov': 32.0, 'dec': 22.0}","{'jan': 1.65, 'feb': 1.47, 'mar': 2.06, 'apr': 3.03, 'may': 3.36, 'jun': 3.45, 'jul': 2.84, 'aug': 3.23, 'sep': 3.5, 'oct': 2.53, 'nov': 2.78, 'dec': 1.87}",lansing,42.733635,-84.555328,26,9965265.0,39.7,57144.0,31713.0,1398527.0,14.034017158600399
"{'jan': 26.0, 'feb': 31.0, 'mar': 43.0, 'apr': 58.0, 'may': 71.0, 'jun': 80.0, 'jul': 85.0, 'aug': 82.0, 'sep': 73.0, 'oct': 59.0, 'nov': 42.0, 'dec': 29.0}","{'jan': 7.0, 'feb': 12.0, 'mar': 24.0, 'apr': 38.0, 'may': 50.0, 'jun': 59.0, 'jul': 64.0, 'aug': 62.0, 'sep': 53.0, 'oct': 41.0, 'nov': 27.0, 'dec': 13.0}","{'jan': 0.77, 'feb': 0.67, 'mar': 1.55, 'apr': 2.88, 'may': 3.7, 'jun': 4.2, 'jul': 4.4, 'aug': 4.78, 'sep': 3.27, 'oct': 2.91, 'nov': 1.82, 'dec': 1.09}",saint_paul,44.955096999999995,-93.102211,27,5563378.0,38.0,71306.0,37625.0,526065.0,9.455855776831989
"{'jan': 56.0, 'feb': 60.0, 'mar': 69.0, 'apr': 76.0, 'may': 83.0, 'jun': 89.0, 'jul': 92.0, 'aug': 92.0, 'sep': 87.0, 'oct': 77.0, 'nov': 67.0, 'dec': 58.0}","{'jan': 35.0, 'feb': 38.0, 'mar': 45.0, 'apr': 52.0, 'may': 62.0, 'jun': 69.0, 'jul': 72.0, 'aug': 71.0, 'sep': 65.0, 'oct': 53.0, 'nov': 44.0, 'dec': 37.0}","{'jan': 4.97, 'feb': 4.76, 'mar': 5.04, 'apr': 4.96, 'may': 4.38, 'jun': 4.12, 'jul': 4.81, 'aug': 4.24, 'sep': 3.03, 'oct': 3.92, 'nov': 4.76, 'dec': 5.15}",jackson,32.303847999999995,-90.182106,28,2984418.0,37.5,45081.0,24369.0,585786.0,19.628148603848384
